,location_name,lat,lon,location_type,M1,MyRepublic,Singtel,StarHub
147,Hong Kah North Zone 4 RC,1.36312633507894,103.747418528429,Community,True,False,False,False
815,Pasir Ris Polyclinic - Level 1,1.3685870294423,103.959198004761,Healthcare,True,False,False,False
492,NKF New Upper Changi Rd,1.32407808003007,103.93470058048,Healthcare,True,False,False,False
1056,SGH BLK 4 - L05,1.27993968247,103.830721777631,Healthcare,True,False,False,False
471,Mount Faber Zone B RC,1.27655921055305,103.819821920557,Community,True,False,False,False
1491,TQC Precision Engineering Pte Ltd,1.32710237565911,103.677160962374,Commercial,False,True,False,False
275,Civil Aviation Authority Singapore(CAAS) Singapore Aviation Academy,1.38831996212742,103.99031377188,Government,True,False,False,False
285,Academia @SGH - DY - L08,1.28167037684922,103.835585516688,Healthcare,True,False,False,False
1377,Jalan Bukit Merah Market & Food Centre,1.28000481922373,103.826013284817,F&B,False,False,True,False
1215,Singapore National Eye Centre_OLD-04,1.28108025146011,103.835736519141,Healthcare,True,False,False,False
686,National Kidney Foundation (NKF) - Aljunied,1.32043902044494,103.882420440397,Healthcare,True,False,False,False
1657,McDonald's Lucky Plaza,1.30448579103267,103.833941937816,F&B,False,False,True,False
830,Pizza Hut North Point,1.42969847969486,103.835776496688,F&B,True,False,False,False
945,Nee Soon East Zone 1 RC,1.43227064427263,103.836398384971,Community,True,False,False,False
820,Pizza Hut Jurong Point,1.3398301525794,103.70646088413,F&B,True,False,False,False
178,Housing and Development Board,1.43825753526203,103.841235190066,F&B,True,False,False,False
928,Sembawang Zone D RC,1.44746649596221,103.802661298861,Community,True,False,False,False
25,Academia @SGH - DN - L10,1.28167037684922,103.835585516688,Healthcare,True,False,False,False
156,Hougang Sheng Hong FSC,1.35649939559659,103.888673377488,Welfare Organisation,True,False,False,False
1272,Tampines West CC,1.34875076398822,103.935633408895,Community,True,False,False,False
571,KFC Parkway Parade,1.30119130748691,103.905113592255,F&B,True,False,False,False
1143,South Central Community FSC,1.29223144330431,103.827600712697,Welfare Organisation,True,False,False,False
272,Church of St Anthony,1.42956869750955,103.779618437945,Others,True,False,False,False
1688,McDonald's Sun Plaza,1.44822653184262,103.819462104528,F&B,False,False,True,False
15,Academia @SGH - DN - B01,1.28167037684922,103.835585516688,Healthcare,True,False,False,False
1213,Singapore National Eye Centre OLD - L04,1.28108025146011,103.835736519141,Healthcare,True,False,False,False
204,Changi General Hospital - Integrated Building L2,1.34071716408826,103.948068527847,Healthcare,True,False,False,False
1148,Sunlove SAC (Cafe Corner),1.36413097278175,103.893001326989,Community,True,False,False,False
196,Care Corner SAC (WL569),1.43012185253651,103.789718276014,Welfare Organisation,True,False,False,False
1749,RC4,1.30822041808235,103.773315229036,School,False,False,False,True
891,SGH CMC - Level 16,1.30313757981305,103.823907154131,Healthcare,True,False,False,False
856,Paya Lebar Quarter,1.31752384126856,103.892724434212,F&B,True,False,False,False
170,Housing and Development Board,1.33675093059246,103.947429050261,F&B,True,False,False,False
1088,SGH BLK 7 - L04,1.27993968247,103.830721777631,Healthcare,True,False,False,False
446,Marine Crescent Ville RC,1.30414963942651,103.912123975887,Community,True,False,False,False
202,Cascadia RC,1.40890165160639,103.898407771219,Community,True,False,False,False
601,KPMG,1.28136359543729,103.850914475563,Commercial,True,False,False,False
996,Punggol Horizon RC (Cafe Corner),1.40066201488313,103.91091439013,Community,True,False,False,False
1764,Replacement Food Centre at Woodlands St 12,1.43351252898231,103.779746868505,F&B,False,False,True,False
962,Serangoon Green RC,1.35755257359307,103.873140477485,Community,True,False,False,False
1304,Yuhua Zone 6 RC,1.34177657804898,103.740057262006,Community,True,False,False,False
1748,Prince George Park,1.29079946922954,103.781304521863,School,False,False,False,True
1337,Toa Payoh South CC,1.33489037046643,103.859378979813,Community,True,False,False,False
93,Geylang Polyclinic - Level 3,1.31949364570372,103.887166044816,Healthcare,True,False,False,False
808,Pacific Star Holdings PL,1.30576250051157,103.791653660401,Commercial,True,False,False,False
1012,Punggol Seas RC (Cafe Corner),1.40076048643597,103.899613560858,Community,True,False,False,False
427,Leng Kee CC,1.28978711891653,103.81444834816,Community,True,False,False,False
1371,Health Promotion Board,1.2793314591479,103.838315054028,Healthcare,False,False,True,False
305,Ang Mo Kio-Hougang Zone 4 RC,1.37337937105369,103.882388343307,Community,True,False,False,False
1445,McDonald's IFLY,1.25200580026936,103.817554221282,F&B,False,False,True,False
708,National Kidney Foundation (NKF) - Yishun St 61,1.34992094367135,103.716717863224,Healthcare,True,False,False,False
430,Lions Befrienders (Bendemeer) Senior Activity Centre,1.31981682422193,103.86337551385,Community,True,False,False,False
1126,Woodlands Zone 6 RC,1.44288019238587,103.798887785498,Community,True,False,False,False
1433,McDonald's Downtown East,1.37714073427961,103.953599086806,F&B,False,False,True,False
1780,Tanjong Pagar Plaza Market & Food Centre,1.27661370903188,103.843161656623,F&B,False,False,True,False
242,Cheng San Zone D RC,1.37443139374983,103.850157493124,Community,True,False,False,False
1724,Ng Teng Fong Hospital - Ward_Tower(RH)_L7,1.33553381915145,103.743865454971,Healthcare,False,False,True,False
714,National University Polyclinic Pioneer,1.33856224262937,103.698979341476,Healthcare,True,False,False,False
1178,Taman Jurong Zone D RC,1.33963604074386,103.720528206083,Community,True,False,False,False
